#{"t_start": 1595257204.4953346, "env_id": "NovelGridworld-v0"}
r,l,t
45,6,176.919016
46,5,176.969985
37,14,177.095912
45,6,177.157887
45,6,177.218843
39,12,177.330788
49,2,177.346767
45,6,177.408732
39,12,177.51867
43,8,177.596623
45,6,177.65659
47,4,177.695567
48,3,177.72455
46,5,177.769523
50,1,177.780518
50,1,177.792511
49,2,177.8115
39,12,177.932432
35,16,178.096335
49,2,178.117326
50,1,178.130318
50,1,178.142311
43,8,178.221263
47,4,178.263239
50,1,178.274232
45,6,178.333198
50,1,178.345203
48,3,178.372179
49,2,178.392176
37,14,178.518093
33,18,178.691994
47,4,178.728971
36,15,178.863893
48,3,178.889878
28,23,179.103756
50,1,179.112752
47,4,179.14774
39,12,179.263665
37,14,179.397596
43,8,179.479538
40,11,179.588475
47,4,179.628453
50,1,179.638449
46,5,179.686419
41,10,179.788359
38,13,179.906292
50,1,179.915287
27,24,180.145154
37,14,180.27408
35,16,180.418997
46,5,180.467968
48,3,180.49895
42,9,180.596894
49,2,180.616883
50,1,180.625878
41,10,180.727818
15,36,181.061626
29,22,181.274503
44,7,181.336468
44,7,181.409426
36,15,181.558339
49,2,181.582327
41,10,181.688264
49,2,181.710253
38,13,181.847174
47,4,181.884152
45,6,181.940119
41,10,182.038063
38,13,182.164989
42,9,182.245943
47,4,182.281923
42,9,182.368874
41,10,182.462821
49,2,182.480809
48,3,182.51079
42,9,182.591743
46,5,182.644713
48,3,182.673696
48,3,182.701681
47,4,182.743657
45,6,182.801634
34,17,182.960531
48,3,182.994512
50,1,183.005505
47,4,183.044484
46,5,183.093455
43,8,183.174409
44,7,183.256361
45,6,183.316326
47,4,183.351306
39,12,183.465242
43,8,183.53821
49,2,183.556188
45,6,183.619154
44,7,183.687113
47,4,183.730088
45,6,183.787055
50,1,183.798048
46,5,183.84602
45,6,183.905986
33,18,184.076893
41,10,184.166838
47,4,184.206814
48,3,184.236811
43,8,184.310764
50,1,184.320749
46,5,184.368722
48,3,184.396703
50,1,184.407697
34,17,184.571618
48,3,184.599598
50,1,184.611579
37,14,184.748501
43,8,184.827466
