#{"t_start": 1595252445.9527411, "env_id": "NovelGridworld-v0"}
r,l,t
41,10,103.740197
48,3,103.761188
47,4,103.787172
48,3,103.810157
49,2,103.823149
42,9,103.885114
45,6,103.925093
46,5,103.959072
49,2,103.973066
47,4,104.001048
43,8,104.05602
40,11,104.141966
47,4,104.173947
35,16,104.292879
46,5,104.330857
47,4,104.365837
41,10,104.4338
50,1,104.439794
49,2,104.453786
43,8,104.554728
43,8,104.660667
48,3,104.690651
49,2,104.711638
45,6,104.767606
36,15,104.874545
46,5,104.910523
41,10,104.976488
47,4,105.005468
37,14,105.095417
47,4,105.1254
48,3,105.145387
47,4,105.172372
40,11,105.245331
40,11,105.319288
49,2,105.33328
49,2,105.347271
43,8,105.402239
44,7,105.450213
37,14,105.546157
50,1,105.553152
36,15,105.660091
46,5,105.69607
44,7,105.743044
34,17,105.856977
47,4,105.884962
49,2,105.899953
48,3,105.920942
44,7,105.981907
35,16,106.089844
47,4,106.119826
33,18,106.239757
41,10,106.304719
49,2,106.317711
44,7,106.364684
44,7,106.408661
39,12,106.489614
29,22,106.627534
43,8,106.686499
47,4,106.714483
36,15,106.813427
45,6,106.8584
46,5,106.891381
39,12,106.969338
42,9,107.025305
50,1,107.032303
43,8,107.083273
35,16,107.18821
40,11,107.261167
32,19,107.394091
49,2,107.407084
39,12,107.48404
-3,54,107.840834
40,11,107.918789
50,1,107.926785
42,9,107.986752
49,2,108.001744
48,3,108.022729
43,8,108.074699
47,4,108.107681
34,17,108.219615
39,12,108.307564
46,5,108.338548
47,4,108.362536
47,4,108.391516
33,18,108.516444
47,4,108.547427
47,4,108.574411
49,2,108.591401
49,2,108.604393
36,15,108.709334
47,4,108.738317
45,6,108.779293
46,5,108.813273
36,15,108.919212
37,14,109.016157
49,2,109.031148
48,3,109.052137
17,34,109.285002
48,3,109.307989
42,9,109.364957
46,5,109.399937
49,2,109.414926
48,3,109.434916
47,4,109.460901
9,42,109.73874
45,6,109.776719
36,15,109.874663
25,26,110.051561
45,6,110.092537
43,8,110.152503
35,16,110.259442
17,34,110.482311
-102,153,111.797553
47,4,111.828535
21,30,112.053406
6,45,112.395208
38,13,112.489154
49,2,112.506144
32,19,112.659057
16,35,112.919907
42,9,112.988866
40,11,113.074819
46,5,113.112794
44,7,113.167764
47,4,113.198747
36,15,113.317677
45,6,113.368648
47,4,113.39963
43,8,113.462593
46,5,113.500571
43,8,113.560538
44,7,113.612506
43,8,113.67747
47,4,113.708452
47,4,113.738434
50,1,113.74643
47,4,113.776412
45,6,113.822387
47,4,113.852369
42,9,113.928325
47,4,113.963305
49,2,113.986291
48,3,114.014275
46,5,114.056252
