#{"t_start": 1595250405.177114, "env_id": "NovelGridworld-v0"}
r,l,t
35,16,324.953998
45,6,325.018961
50,1,325.031956
28,23,325.292805
34,17,325.475699
47,4,325.519673
33,18,325.693574
47,4,325.737547
46,5,325.787519
42,9,325.895462
44,7,326.087348
50,1,326.109338
44,7,326.22127
50,1,326.244262
47,4,326.31122
49,2,326.340209
17,34,326.836914
46,5,326.884885
48,3,326.91087
46,5,326.953846
12,39,327.290663
47,4,327.331645
46,5,327.375603
17,34,327.685427
-1,52,328.175142
39,12,328.303068
-18,69,329.046641
-58,109,330.129015
48,3,330.155
49,2,330.17399
44,7,330.254944
42,9,330.346889
32,19,330.51879
47,4,330.555769
48,3,330.584753
48,3,330.610738
41,10,330.697688
48,3,330.726671
43,8,330.79763
49,2,330.81462
39,12,330.93555
46,5,330.989519
41,10,331.085464
36,15,331.247371
43,8,331.355308
50,1,331.366302
48,3,331.402282
47,4,331.453252
-27,78,332.2378
50,1,332.247795
46,5,332.297765
50,1,332.30776
45,6,332.357731
46,5,332.405705
31,20,332.61958
45,6,332.678546
50,1,332.687541
45,6,332.750505
35,16,332.944394
43,8,333.031343
40,11,333.173262
37,14,333.31418
49,2,333.333168
42,9,333.422117
47,4,333.459097
46,5,333.502073
46,5,333.549043
46,5,333.596018
44,7,333.656982
11,40,334.000783
45,6,334.056753
41,10,334.140705
46,5,334.182694
-4,55,334.661403
35,16,334.80532
48,3,334.830305
36,15,334.954236
45,6,335.004206
44,7,335.068168
46,5,335.11614
25,26,335.335013
30,21,335.517909
46,5,335.559884
41,10,335.644836
27,24,335.894692
34,17,336.074589
12,39,336.522331
47,4,336.559309
41,10,336.651256
48,3,336.680238
48,3,336.709223
20,31,336.99206
45,6,337.049026
34,17,337.199939
47,4,337.235919
42,9,337.314873
50,1,337.324867
50,1,337.334861
47,4,337.369842
36,15,337.508762
34,17,337.689656
47,4,337.734632
50,1,337.748623
45,6,337.817584
8,43,338.259329
45,6,338.317297
19,32,338.735054
45,6,338.830001
28,23,339.122835
40,11,339.235766
44,7,339.312722
41,10,339.408667
45,6,339.479625
44,7,339.550584
30,21,339.781452
34,17,339.93936
46,5,339.997328
50,1,340.008321
48,3,340.036304
46,5,340.084276
34,17,340.230193
48,3,340.259176
44,7,340.337131
45,6,340.393098
47,4,340.438074
-20,71,341.217623
48,3,341.2586
48,3,341.289582
41,10,341.393522
49,2,341.418507
9,42,341.89823
4,47,342.538862
47,4,342.592831
47,4,342.660792
48,3,342.710762
42,9,342.861676
47,4,342.934635
47,4,343.007593
-11,62,343.97304
43,8,344.088969
50,1,344.102961
-29,80,345.022429
47,4,345.065407
45,6,345.141364
39,12,345.271287
49,2,345.293274
-13,64,346.175766
45,6,346.42762
48,3,346.596523
50,1,346.619509
0,51,347.76385
11,40,348.358507
34,17,348.635348
49,2,348.674325
50,1,348.690316
44,7,348.795256
47,4,348.859218
48,3,348.903193
-9,60,349.9316
33,18,350.200446
45,6,350.2774
46,5,350.345361
49,2,350.369347
0,51,351.053953
47,4,351.114918
48,3,351.156895
49,2,351.183878
45,6,351.273829
40,11,351.42374
48,3,351.471713
30,21,351.742557
47,4,351.798524
47,4,351.855491
47,4,351.911459
47,4,351.963429
39,12,352.11934
38,13,352.32422
45,6,352.408173
46,5,352.508116
47,4,352.579075
48,3,352.618052
43,8,352.721991
50,1,352.735986
29,22,353.087785
38,13,353.262679
43,8,353.360625
46,5,353.421588
47,4,353.474558
47,4,353.525528
50,1,353.537523
26,25,353.856339
37,14,354.062219
39,12,354.267101
31,20,354.535946
38,13,354.708848
30,21,354.970701
47,4,355.024665
46,5,355.086629
48,3,355.125606
46,5,355.180574
48,3,355.218552
49,2,355.244539
48,3,355.282516
45,6,355.359471
44,7,355.453419
43,8,355.56935
49,2,355.596335
36,15,355.773233
42,9,355.890165
49,2,355.914155
